Territorial emissions in MtCO₂,,,,
,India,,,
1960,111.3251,,,
1961,120.4043,,,
1962,132.5815,,,
1963,142.4441,,,
1964,139.4883,,,
1965,153.7019,,,
1966,159.3734,,,
1967,159.5558,,,
1968,174.0693,,,
1969,177.4134,,,
1970,181.7226,,,
1971,191.9637,,,
1972,203.036,,,
1973,209.095,,,
1974,215.8532,,,
1975,234.2091,,,
1976,244.7494,,,
1977,258.9617,,,
1978,263.1496,,,
1979,276.2847,,,
1980,291.7111,,,
1981,314.9662,,,
1982,325.38,,,
1983,352.1988,,,
1984,361.5594,,,
1985,397.5921,,,
1986,426.3094,,,
1987,455.3431,,,
1988,491.6922,,,
1989,540.651,,,
1990,577.996,,,
1991,615.365,,,
1992,655.447,,,
1993,677.2992,,,
1994,714.0637,,,
1995,760.4616,,,
1996,823.6206,,,
1997,858.0112,,,
1998,875.7723,,,
1999,950.4598,,,
2000,977.5264,,,
2001,990.9695,,,
2002,1021.6644,,,
2003,1059.1595,,,
2004,1125.0963,,,
2005,1185.6742,,,
2006,1292.4846,,,
2007,1392.506,,,
2008,1489.4375,,,
2009,1612.2163,,,
2010,1677.3372,,,
2011,1764.7124,,,
2012,1925.6997,,,
2013,1995.0981,,,
2014,2148.3437,,,
2015,2234.2195,,,
2016,2354.658,,,
2017,2426.6069,,,
2018,2593.0579,,,
2019,2612.888,,,
2020,2421.5523,,,
2021,2674.2219,,,
2022,2829.6442,,,
,,,,
SOURCES,,,,
Territorial,"<b>For sources and methods, see Andrew and Peters (2023), Friedlingstein et al. (2023), and Peters et al. (2011)..</b><br /><br /><br />Friedlingstein, P., O'Sullivan, M., Jones, M. W., Andrew, R. M., Bakker, D. C. E., Hauck, J., Landschützer, P., Le Quéré, C., Luijkx, I. T., Peters, G. P., Peters, W., Pongratz, J., Schwingshackl, C., Sitch, S., Canadell, J. G., Ciais, P., Jackson, R. B., Alin, S. R., Anthoni, P., Barbero, L., Bates, N. R., Becker, M., Bellouin, N., Decharme, B., Bopp, L., Brasika, I. B. M., Cadule, P., Chamberlain, M. A., Chandra, N., Chau, T.-T.-T., Chevallier, F., Chini, L. P., Cronin, M., Dou, X., Enyo, K., Evans, W., Falk, S., Feely, R. A., Feng, L., Ford, D. J., Gasser, T., Ghattas, J., Gkritzalis, T., Grassi, G., Gregor, L., Gruber, N., Gürses, Ö., Harris, I., Hefner, M., Heinke, J., Houghton, R. A., Hurtt, G. C., Iida, Y., Ilyina, T., Jacobson, A. R., Jain, A., Jarníková, T., Jersild, A., Jiang, F., Jin, Z., Joos, F., Kato, E., Keeling, R. F., Kennedy, D., Klein Goldewijk, K., Knauer, J., Korsbakken, J. I., Körtzinger, A., Lan, X., Lefèvre, N., Li, H., Liu, J., Liu, Z., Ma, L., Marland, G., Mayot, N., McGuire, P. C., McKinley, G. A., Meyer, G., Morgan, E. J., Munro, D. R., Nakaoka, S.-I., Niwa, Y., O'Brien, K. M., Olsen, A., Omar, A. M., Ono, T., Paulsen, M. E., Pierrot, D., Pocock, K., Poulter, B., Powis, C. M., Rehder, G., Resplandy, L., Robertson, E., Rödenbeck, C., Rosan, T. M., Schwinger, J., Séférian, R., Smallman, T. L., Smith, S. M., Sospedra-Alfonso, R., Sun, Q., Sutton, A. J., Sweeney, C., Takao, S., Tans, P. P., Tian, H., Tilbrook, B., Tsujino, H., Tubiello, F., van der Werf, G. R., van Ooijen, E., Wanninkhof, R., Watanabe, M., Wimart-Rousseau, C., Yang, D., Yang, X., Yuan, W., Yue, X., Zaehle, S., Zeng, J., and Zheng, B.: Global Carbon Budget 2023, Earth Syst. Sci. Data Discuss. Available at: <a href=""https://doi.org/10.5194/essd-2023-409"" target=""_blank""> https://doi.org/10.5194/essd-2023-409</a><br /><br />Andrew, R.M. and Peters, G.P. (2023): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. Available at: <a href=""https://zenodo.org/doi/10.5281/zenodo.5569234"" target=""_blank"">Andrew and Peters, 2023.</a><br /><br />Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a><br /><br />The use of data is conditional on citing the original data sources. <br /><br />Data for years 2021 and 2022 are preliminary.<br /><br />",,,
